Code,Company,Link,"Market Cap","Last trade",Change,%Change,Sector
ASX:FRE,"Firebrick Pharma Limited (ASX:FRE)",https://www.listcorp.com/asx/fre/firebrick-pharma-limited,"	10937200",0.053,-0.00,-5.36,"Health Care"
ASX:DMC,"Design Milk Co Limited (ASX:DMC)",https://www.listcorp.com/asx/dmc/design-milk-co-limited,"	10887800",0.3,0.00,0,"Communication Services"
ASX:FME,"Future Metals NL (ASX:FME)",https://www.listcorp.com/asx/fme/future-metals-nl,"	10878300",0.019,0.00,0,Materials
ASX:TOY,"Toys R Us ANZ Limited (ASX:TOY)",https://www.listcorp.com/asx/toy/toys-r-us-anz-limited,"	10874900",0.095,0.00,1.06,"Consumer Discretionary"
ASX:RLF,"RLF AgTech Ltd (ASX:RLF)",https://www.listcorp.com/asx/rlf/rlf-agtech-ltd,"	10774400",0.043,-0.00,-8.51,Materials
ASX:NYR,"Nyrada Inc (ASX:NYR)",https://www.listcorp.com/asx/nyr/nyrada-inc,"	10750300",0.062,0.00,5.08,"Health Care"
ASX:AQD,"AusQuest Limited (ASX:AQD)",https://www.listcorp.com/asx/aqd/ausquest,"	10726900",0.013,0.00,0,Materials
ASX:KTG,"K-TIG Limited (ASX:KTG)",https://www.listcorp.com/asx/ktg/k-tig-limited,"	10632600",0.145,0.00,0,Industrials
ASX:LSA,"Lachlan Star Limited (ASX:LSA)",https://www.listcorp.com/asx/lsa/lachlan-star-limited,"	10586200",0.05,-0.00,-1.96,Materials
ASX:MGU,"Magnum Mining & Exploration Limited (ASX:MGU)",https://www.listcorp.com/asx/mgu/magnum-mining-and-exploration-limited,"	10521700",0.013,0.00,0,Materials
ASX:AUZ,"Australian Mines Limited (ASX:AUZ)",https://www.listcorp.com/asx/auz/australian-mines-limited,"	10488800",0.0075,0.00,0,Materials
ASX:LIO,"Lion Energy Limited (ASX:LIO)",https://www.listcorp.com/asx/lio/lion-energy-limited,"	10487500",0.023,-0.00,-4.17,Energy
